"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=EUR&show=class,timebins,acconly"
"Access Time","Thu 2021-07-01 18:01:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","EUR"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class,timebins,acconly"
"Elapsed Time","2.17"
"Records Found","12426"
"Records Returned","12426"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","time_bins"
"336598","occ","","","12848","Pseudamphimeryx renevieri","species","67495","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Amphimerycidae","Pseudamphimeryx","Priabonian"
"336600","occ","","","31584","Nannopithex filholi","species","348251","Bartonian","","41.3","38","8517","Chordata","Mammalia","Primates","Omomyidae","Nannopithex","Bartonian"
"336603","occ","","","31584","Gervachoerus suillus","species","347709","Bartonian","","41.3","38","8517","Chordata","Mammalia","Artiodactyla","Cebochoeridae","Gervachoerus","Bartonian"
"336604","occ","","","31584","Hyperdichobune langi","species","347606","Bartonian","","41.3","38","8517","Chordata","Mammalia","Artiodactyla","Dichobunidae","Hyperdichobune","Bartonian"
"336606","occ","","","31584","Meniscodon europaeum","species","347570","Bartonian","","41.3","38","8517","Chordata","Mammalia","Artiodactyla","Dichobunidae","Meniscodon","Bartonian"
"336607","occ","","","31584","Pseudamphimeryx schlosseri","species","347789","Bartonian","","41.3","38","8517","Chordata","Mammalia","Artiodactyla","Amphimerycidae","Pseudamphimeryx","Bartonian"
"336612","occ","","","31586","Dichobune leporina","species","347535","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Dichobunidae","Dichobune","Priabonian"
"336613","occ","","","31586","Acotherulum saturninum","species","347617","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Cebochoeridae","Acotherulum","Priabonian"
"336614","occ","","","31586","Diplobune secundaria","species","347773","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Anoplotheriidae","Diplobune","Priabonian"
"336615","occ","","","31586","Xiphodon gracile","species","347776","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Xiphodontidae","Xiphodon","Priabonian"
"336616","occ","","","31586","Amphimeryx murinus","species","347787","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Amphimerycidae","Amphimeryx","Priabonian"
"336620","occ","37497","","31223","Desmanella dubia","species","91924","MN 10","","9.7","8.7","73905","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Desmanella","Tortonian"
"336665","occ","","","31607","Dichobune leporina","species","347535","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Dichobunidae","Dichobune","Priabonian"
"336668","occ","","","31607","Anoplotherium commune","species","347767","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Anoplotheriidae","Anoplotherium","Priabonian"
"336669","occ","","","31607","Xiphodon gracile","species","347776","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Xiphodontidae","Xiphodon","Priabonian"
"336670","occ","","","31608","Choeropotamus parisiensis","species","347710","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Choeropotamidae","Choeropotamus","Priabonian"
"336674","occ","","","31609","Nannopithex filholi","species","348251","Lutetian","","47.8","41.3","8517","Chordata","Mammalia","Primates","Omomyidae","Nannopithex","Lutetian"
"336676","occ","","","31609","Periconodon huerzeleri","species","135240","Lutetian","","47.8","41.3","8517","Chordata","Mammalia","Primates","Notharctidae","Periconodon","Lutetian"
"336677","occ","","","31609","Caenopithecus lemuroides","species","384988","Lutetian","","47.8","41.3","8517","Chordata","Mammalia","Primates","NO_FAMILY_SPECIFIED","Caenopithecus","Lutetian"
