"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=ASI&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","ASI"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.34"
"Records Found","7890"
"Records Returned","7890"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"150915","occ","","","13468","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150916","occ","","","13469","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150917","occ","","","13470","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150922","occ","","","13472","Amphicyon","genus","41271","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150923","occ","","","13472","Crocuta","genus","45364","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150927","occ","","","13472","Macrotherium","genus","43083","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150928","occ","","","13472","Rhinoceros","genus","43222","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150932","occ","","","13472","Hispanotherium matritense","species","97725","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150933","occ","","","13472","Aceratherium","genus","43188","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150934","occ","","","13472","Chilotherium","genus","43196","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150935","occ","","","13472","Aprotodon","genus","43146","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150936","occ","","","13472","Brachypotherium","genus","43194","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150937","occ","","","13472","Palaeochoerus","genus","42433","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150939","occ","","","13472","Listriodon","genus","42395","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150940","occ","","","13472","Propotamochoerus","genus","42409","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150942","occ","","","13472","Hemimeryx","genus","42459","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150943","occ","","","13472","Dorcabune","genus","42599","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150944","occ","","","13472","Dorcabune","genus","42599","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150945","occ","","","13472","Dorcatherium majus","species","352945","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150946","occ","","","13472","Dorcatherium minus","species","158607","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150947","occ","","","13472","Dorcatherium","genus","42600","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150948","occ","","","13472","Giraffokeryx","genus","42696","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150949","occ","","","13472","Gazella","genus","42774","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150950","occ","","","13472","Strepsiportax","genus","42877","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150951","occ","","","13472","Helicoportax","genus","42776","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150952","occ","","","13472","Helicoportax","genus","42776","Middle Miocene","","15.97","11.608","6080","Serravallian"
"150954","occ","","","13473","Amphicyon","genus","41271","Late Miocene","","11.608","5.333","6080","Tortonian"
"150955","occ","","","13473","Indraloris himalayensis","species","101101","Late Miocene","","11.608","5.333","6080","Tortonian"
"150956","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080","Tortonian"
"150957","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080","Tortonian"
"150958","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080","Tortonian"
"150959","occ","","","13473","Vinayakia","genus","41082","Late Miocene","","11.608","5.333","6080","Tortonian"
"150960","occ","","","13473","Megantereon","genus","41060","Late Miocene","","11.608","5.333","6080","Tortonian"
"150962","occ","","","13473","Orycteropus browni","species","166389","Late Miocene","","11.608","5.333","6080","Tortonian"
"150963","occ","","","13473","Orycteropus pilgrimi","species","166390","Late Miocene","","11.608","5.333","6080","Tortonian"
"150966","occ","","","13473","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6080","Tortonian"
"150967","occ","","","13473","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6080","Tortonian"
"150968","occ","","","13473","Macrotherium","genus","43083","Late Miocene","","11.608","5.333","6080","Tortonian"
"150969","occ","","","13473","Rhinoceros","genus","43222","Late Miocene","","11.608","5.333","6080","Tortonian"
"150971","occ","","","13473","Hispanotherium matritense","species","97725","Late Miocene","","11.608","5.333","6080","Tortonian"
"150972","occ","","","13473","Chilotherium","genus","43196","Late Miocene","","11.608","5.333","6080","Tortonian"
"150973","occ","","","13473","Aprotodon","genus","43146","Late Miocene","","11.608","5.333","6080","Tortonian"
"150974","occ","","","13473","Brachypotherium","genus","43194","Late Miocene","","11.608","5.333","6080","Tortonian"
"150975","occ","","","13473","Palaeochoerus","genus","42433","Late Miocene","","11.608","5.333","6080","Tortonian"
"150976","occ","","","13473","Conohyus sindiensis","species","105496","Late Miocene","","11.608","5.333","6080","Tortonian"
"150977","occ","","","13473","Conohyus indicus","species","105492","Late Miocene","","11.608","5.333","6080","Tortonian"
"150978","occ","","","13473","Tetraconodon","genus","42417","Late Miocene","","11.608","5.333","6080","Tortonian"
"150979","occ","","","13473","Listriodon","genus","42395","Late Miocene","","11.608","5.333","6080","Tortonian"
"150980","occ","","","13473","Lophochoerus","genus","42396","Late Miocene","","11.608","5.333","6080","Tortonian"
"150981","occ","","","13473","Lophochoerus","genus","42396","Late Miocene","","11.608","5.333","6080","Tortonian"
"150982","occ","","","13473","Propotamochoerus","genus","42409","Late Miocene","","11.608","5.333","6080","Tortonian"
"150983","occ","","","13473","Hippopotamodon","genus","90215","Late Miocene","","11.608","5.333","6080","Tortonian"
"150984","occ","","","13473","Hippopotamodon","genus","90215","Late Miocene","","11.608","5.333","6080","Tortonian"
"150985","occ","","","13473","Hippopotamodon","genus","90215","Late Miocene","","11.608","5.333","6080","Tortonian"
"150986","occ","","","13473","Hippohyus deterrai","species","308230","Late Miocene","","11.608","5.333","6080","Tortonian"
"150987","occ","","","13473","Sus","genus","42416","Late Miocene","","11.608","5.333","6080","Tortonian"
"150989","occ","","","13473","Hemimeryx","genus","42459","Late Miocene","","11.608","5.333","6080","Tortonian"
"150990","occ","","","13473","Merycopotamus","genus","42466","Late Miocene","","11.608","5.333","6080","Tortonian"
"150991","occ","","","13473","Dorcatherium minus","species","158607","Late Miocene","","11.608","5.333","6080","Tortonian"
"150992","occ","","","13473","Dorcabune","genus","42599","Late Miocene","","11.608","5.333","6080","Tortonian"
"150993","occ","","","13473","Dorcatherium majus","species","352945","Late Miocene","","11.608","5.333","6080","Tortonian"
"150994","occ","","","13473","Dorcatherium","genus","42600","Late Miocene","","11.608","5.333","6080","Tortonian"
"150995","occ","","","13473","Giraffokeryx punjabiensis","species","185954","Late Miocene","","11.608","5.333","6080","Tortonian"
"150996","occ","","","13473","Hydaspitherium","genus","42699","Late Miocene","","11.608","5.333","6080","Tortonian"
"150997","occ","","","13473","Gazella","genus","42774","Late Miocene","","11.608","5.333","6080","Tortonian"
"150998","occ","","","13473","Selenoportax","genus","42860","Late Miocene","","11.608","5.333","6080","Tortonian"
"150999","occ","","","13473","Selenoportax","genus","42860","Late Miocene","","11.608","5.333","6080","Tortonian"
"151000","occ","","","13473","Pachyportax","genus","42818","Late Miocene","","11.608","5.333","6080","Tortonian"
"151001","occ","","","13473","Pachyportax","genus","42818","Late Miocene","","11.608","5.333","6080","Tortonian"
"151002","occ","","","13473","Helicoportax","genus","42776","Late Miocene","","11.608","5.333","6080","Tortonian"
"151003","occ","","","13473","Helicoportax","genus","42776","Late Miocene","","11.608","5.333","6080","Tortonian"
"151004","occ","","","13473","Tragoportax","genus","42887","Late Miocene","","11.608","5.333","6080","Tortonian"
"151005","occ","","","13473","Tragocerus","genus","42886","Late Miocene","","11.608","5.333","6080","Tortonian"
"151006","occ","","","13473","Tragocerus","genus","42886","Late Miocene","","11.608","5.333","6080","Tortonian"
"151007","occ","","","13473","Sivaceros","genus","42867","Late Miocene","","11.608","5.333","6080","Tortonian"
"151009","occ","","","13474","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080","Tortonian"
"151010","occ","","","13474","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080","Tortonian"
"151013","occ","","","13474","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6080","Tortonian"
"151014","occ","","","13474","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6080","Tortonian"
"151016","occ","","","13474","Chilotherium","genus","43196","Late Miocene","","11.608","5.333","6080","Tortonian"
"151017","occ","","","13474","Brachypotherium","genus","43194","Late Miocene","","11.608","5.333","6080","Tortonian"
"151018","occ","","","13474","Listriodon","genus","42395","Late Miocene","","11.608","5.333","6080","Tortonian"
"151019","occ","","","13474","Propotamochoerus","genus","42409","Late Miocene","","11.608","5.333","6080","Tortonian"
