"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=EUR&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:08 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","EUR"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.63"
"Records Found","17723"
"Records Returned","17723"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"336695","occ","","","31634","Choeropotamus","genus","103836","Bartonian","","41.3","38","8517","Bartonian"
"336696","occ","","","31634","Dacrytherium elegans","species","67470","Bartonian","","41.3","38","8517","Bartonian"
"336698","occ","","","31634","Xiphodon castrensis","species","67476","Bartonian","","41.3","38","8517","Bartonian"
"336699","occ","","","31634","Acotherulum campichii","species","67468","Bartonian","","41.3","38","8517","Bartonian"
"336700","occ","","","31635","Leptadapis magnus","species","127246","Priabonian","","38","33.9","8517","Priabonian"
"336701","occ","","","31635","Mixtotherium cuspidatum","species","347743","Priabonian","","38","33.9","8517","Priabonian"
"336704","occ","","","12852","Dichobune leporina","species","347535","Priabonian","","38","33.9","8517","Priabonian"
"336707","occ","","","12852","Tapirulus hyracinus","species","347714","Priabonian","","38","33.9","8517","Priabonian"
"337172","occ","32932","","31717","Amphiperatherium goethei","species","347684","Lutetian","","47.8","41.3","60880","Lutetian"
"337174","occ","","","31717","Microparamys","genus","41405","Lutetian","","47.8","41.3","8544","Lutetian"
"337175","occ","32839","","31717","Propalaeotherium sudrei","species","347372","Lutetian","","47.8","41.3","60705","Lutetian"
"337176","occ","","","31717","Lophiotherium","genus","43007","Lutetian","","47.8","41.3","8544","Lutetian"
"337177","occ","","","31717","Lophiodon leptorhynchum","species","135291","Lutetian","","47.8","41.3","8544","Lutetian"
"337178","occ","","","31717","Hyrachyus","genus","43141","Lutetian","","47.8","41.3","8544","Lutetian"
"337179","occ","","","31717","Hyperdichobune","genus","42329","Lutetian","","47.8","41.3","8517","Lutetian"
"337181","occ","","","31718","Hyperdichobune nobilis","species","347603","Bartonian","","41.3","38","8545","Bartonian"
"337182","occ","","","31718","Mouillacitherium cartieri","species","350422","Bartonian","","41.3","38","8545","Bartonian"
"337183","occ","","","31718","Mixtotherium priscum","species","347745","Bartonian","","41.3","38","8545","Bartonian"
"337184","occ","","","31718","Haplobunodon solodurense","species","135297","Bartonian","","41.3","38","8545","Bartonian"
"337185","occ","","","31718","Haplobunodon muelleri","species","347734","Bartonian","","41.3","38","8545","Bartonian"
"337186","occ","","","31718","Rhagatherium kowalevskyi","species","347719","Bartonian","","41.3","38","8545","Bartonian"
"337187","occ","","","31718","Catodontherium buxgovianum","species","347764","Bartonian","","41.3","38","8545","Bartonian"
"337188","occ","","","31718","Dacrytherium priscum","species","347761","Bartonian","","41.3","38","8545","Bartonian"
"337190","occ","","","31718","Tapirulus majori","species","347715","Bartonian","","41.3","38","8545","Bartonian"
"337191","occ","","","31718","Dichodon simplex","species","347780","Bartonian","","41.3","38","8545","Bartonian"
"337192","occ","","","31718","Dichodon","genus","42565","Bartonian","","41.3","38","8545","Bartonian"
"337193","occ","","","31718","Dichodon","genus","42565","Bartonian","","41.3","38","8545","Bartonian"
"337194","occ","","","31718","Haplomeryx egerkingensis","species","347783","Bartonian","","41.3","38","8545","Bartonian"
"337195","occ","","","31718","Pseudamphimeryx schlosseri","species","347789","Bartonian","","41.3","38","8545","Bartonian"
"337196","occ","","","31718","Caenopithecus lemuroides","species","384988","Bartonian","","41.3","38","8545","Bartonian"
"337198","occ","","","31718","Nannopithex filholi","species","348251","Bartonian","","41.3","38","60954","Bartonian"
"337199","occ","10258","","31718","Anchomomys (Fendantia) pygmaeus","species","145097","Bartonian","","41.3","38","8517","Bartonian"
"337200","occ","","","31718","Periconodon helveticus","species","135244","Bartonian","","41.3","38","8545","Bartonian"
"337202","occ","","","31718","Heterohyus","genus","40245","Bartonian","","41.3","38","8545","Bartonian"
"337203","occ","","","31718","Heterohyus","genus","40245","Bartonian","","41.3","38","8545","Bartonian"
"337204","occ","","","31718","Heterohyus","genus","40245","Bartonian","","41.3","38","8545","Bartonian"
"337205","occ","","","31718","Protadelomys cartieri","species","350387","Bartonian","","41.3","38","8545","Bartonian"
"337206","occ","","","31719","Caenopithecus lemuroides","species","384988","Bartonian","","41.3","38","8545","Bartonian"
"337208","occ","10259","","31719","Anchomomys stehlini","species","145102","Bartonian","","41.3","38","8517","Bartonian"
"337209","occ","","","31719","Leptadapis (Paradapis) priscus","species","145143","Bartonian","","41.3","38","8545","Bartonian"
"337210","occ","","","31719","Microadapis sciureus","species","135234","Bartonian","","41.3","38","8545","Bartonian"
"337211","occ","","","31719","Heterohyus","genus","40245","Bartonian","","41.3","38","8545","Bartonian"
"337212","occ","","","31719","Heterohyus","genus","40245","Bartonian","","41.3","38","8545","Bartonian"
"337213","occ","","","31719","Heterohyus","genus","40245","Bartonian","","41.3","38","8545","Bartonian"
"337214","occ","","","31719","Allopterodon torvidus","species","347880","Bartonian","","41.3","38","60954","Bartonian"
"337215","occ","","","31719","Proviverra typica","species","54265","Bartonian","","41.3","38","60954","Bartonian"
"337216","occ","","","31719","Protadelomys cartieri","species","350387","Bartonian","","41.3","38","8545","Bartonian"
"337218","occ","","","31720","Hyrachyus","genus","43141","Bartonian","","41.3","38","8545","Bartonian"
"337219","occ","","","31720","Hyrachyus","genus","43141","Bartonian","","41.3","38","8545","Bartonian"
"337220","occ","","","31720","Lophiodon rhinocerodes","species","374373","Bartonian","","41.3","38","8545","Bartonian"
"337221","occ","","","31720","Palaeotherium tapiroides","species","374367","Bartonian","","41.3","38","8545","Bartonian"
"337222","occ","","","31720","Lophiodon cuvieri","species","374330","Bartonian","","41.3","38","8545","Bartonian"
"337223","occ","","","31720","Lophiodon tapirotherium","species","63459","Bartonian","","41.3","38","8545","Bartonian"
"337224","occ","","","31720","Palaeotherium eocaenum","species","374361","Bartonian","","41.3","38","8545","Bartonian"
