"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleocene,Holocene&cc=SOA&show=timebins,acconly"
"Access Time","Sun 2020-04-12 23:31:27 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","1.7"
"Records Found","5201"
"Records Returned","5201"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"402853","occ","","","38611","Eopachyrucos pliciferus","species","57218","Early Oligocene","","33.9","28.4","10307","Rupelian"
"402854","occ","","","38653","Eopachyrucos pliciferus","species","57218","Early Oligocene","","33.9","28.4","10307","Rupelian"
"403337","occ","10600","","38653","Bryanpattersonia sulcidens","species","57059","Early Oligocene","","33.9","28.4","10308","Rupelian"
"403338","occ","","","38653","Protarchaeohyrax minor","species","57244","Early Oligocene","","33.9","28.4","10308","Rupelian"
"405150","occ","","","38611","Eomorphippus obscurus","species","58196","Early Oligocene","","33.9","28.4","10308","Rupelian"
"405151","occ","","","38611","Rosendo pascuali","species","58197","Early Oligocene","","33.9","28.4","10308","Rupelian"
"405152","occ","10635","","38611","Archaeohyrax propheticus","species","57235","Early Oligocene","","33.9","28.4","10497","Rupelian"
"405153","occ","10636","","38653","Archaeohyrax propheticus","species","57235","Early Oligocene","","33.9","28.4","10497","Rupelian"
"405154","occ","","","38875","Archaeohyrax propheticus","species","57235","Early Oligocene","","33.9","28.4","10497","Rupelian"
"405155","occ","","","38876","Archaeohyrax propheticus","species","57235","Oligocene","","33.9","23.03","10497","Rupelian"
"405156","occ","","","38877","Archaeohyrax propheticus","species","57235","Eocene","Oligocene","56","23.03","10497","-"
"405157","occ","","","38878","Pseudhyrax eutrachytheroides","species","57061","Mustersan","","48","42","10497","Lutetian"
"405158","occ","","","38879","Pseudhyrax eutrachytheroides","species","57061","Middle Eocene","","48.6","37.2","10497","Lutetian"
