"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=lump_genus&idqual=genus_certain&interval=Paleocene,Holocene&cc=SOA&show=acconly"
"Access Time","Sat 2020-04-11 01:09:45 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","lump_genus"
"","idqual","genus_certain"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","1.02"
"Records Found","6462"
"Records Returned","6462"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"394951","occ","","","36611","Palaeolama","genus","42539","Ensenadan","","1.2","0.781","9817"
"394952","occ","","","36611","Eutatus","genus","43539","Ensenadan","","1.2","0.781","9817"
"394953","occ","","","36611","Hoplophorus","genus","43578","Ensenadan","","1.2","0.781","9817"
"394955","occ","","","37999","Ctenomys","genus","81628","Lujanian","","0.781","0.012","9817"
"394956","occ","","","37999","Scelidotherium","genus","43646","Lujanian","","0.781","0.012","9817"
"394957","occ","","","37999","Macrauchenia","genus","43497","Lujanian","","0.781","0.012","9817"
"394958","occ","","","37999","Equus","genus","42996","Lujanian","","0.781","0.012","9817"
"394959","occ","","","37999","Megatherium","genus","43616","Lujanian","","0.781","0.012","9817"
"396045","occ","10570","","38071","Propalaehoplophorus","genus","93651","Laventan","","13.8","11.8","10290"
"396046","occ","10571","","38071","Hapalops","genus","43614","Laventan","","13.8","11.8","10290"
"399906","occ","","","38072","Periphragnis","genus","43363","Early Oligocene","","33.9","28.4","10288"
"399907","occ","33531","","38072","Chilestylops","genus","356401","Early Oligocene","","33.9","28.4","62630"
"399908","occ","32150","","38072","Klohnia","genus","246328","Early Oligocene","","33.9","28.4","44861"
"399910","occ","33534","","38072","Parutaetus","genus","188841","Early Oligocene","","33.9","28.4","62632"
"399911","occ","10580","","38072","Bryanpattersonia","genus","43435","Early Oligocene","","33.9","28.4","10308"
"399918","occ","33533","","38072","Pseudoglyptodon","genus","57072","Early Oligocene","","33.9","28.4","62631"
"399920","occ","10579","","38072","Santiagorothia","genus","57070","Early Oligocene","","33.9","28.4","10307"
"399921","occ","10593","","38072","Protarchaeohyrax","genus","57240","Early Oligocene","","33.9","28.4","10308"
"399922","occ","","","38072","Rhyphodon","genus","43366","Early Oligocene","","33.9","28.4","10299"
"399994","occ","32153","","38072","Hondonadia","genus","276021","Early Oligocene","","33.9","28.4","44861"
"400008","occ","","","38072","Trigonolophodon","genus","57077","Early Oligocene","","33.9","28.4","10302"
"400009","occ","34915","","38072","Eomorphippus","genus","43381","Early Oligocene","","33.9","28.4","66246"
"400010","occ","","","38072","Rosendo","genus","373260","Early Oligocene","","33.9","28.4","10302"
"400012","occ","32114","","38072","Andemys","genus","336969","Early Oligocene","","33.9","28.4","58219"
"400014","occ","10631","","38072","Archaeotypotherium","genus","57234","Early Oligocene","","33.9","28.4","10497"
"400610","occ","10629","","38072","Pseudhyrax","genus","43438","Early Oligocene","","33.9","28.4","10497"
"402449","occ","","","38611","Santiagorothia","genus","57070","Early Oligocene","","33.9","28.4","10307"
"402840","occ","","","38650","Santiagorothia","genus","57070","Early Oligocene","","33.9","28.4","10307"
"402843","occ","","","38651","Santiagorothia","genus","57070","Early Oligocene","","33.9","28.4","10307"
"402846","occ","","","38652","Santiagorothia","genus","57070","Early Oligocene","","33.9","28.4","10307"
"402851","occ","","","38650","Proargyrohyrax","genus","57215","Early Oligocene","","33.9","28.4","10307"
