"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=ASI&show=class"
"Access Time","Fri 2021-07-02 05:12:54 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","ASI"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class"
"Elapsed Time","1.87"
"Records Found","5284"
"Records Returned","5284"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"150991","occ","","","13473","Dorcatherium minus","species","158607","","Dorcatherium minus","species","158607","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
"150993","occ","","","13473","Dorcatherium majus","species","352945","","Dorcatherium majus","species","352945","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
"150995","occ","","","13473","Giraffokeryx punjabiensis","species","185954","","Giraffokeryx punjabiensis","species","185954","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Giraffidae","Giraffokeryx"
"151015","occ","","","13474","Rhinoceros cf. sivalensis","species","390268","","Rhinoceros sivalensis","species","390268","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Rhinoceros"
"151016","occ","","","13474","Chilotherium intermedium","species","433297","","Chilotherium intermedium","species","433297","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Chilotherium"
"151020","occ","","","13474","Merycopotamus dissimilis","species","430608","","Merycopotamus dissimilis","species","430608","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Anthracotheriidae","Merycopotamus"
"151022","occ","","","13474","Dorcatherium majus","species","352945","","Dorcatherium majus","species","352945","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
"151023","occ","","","13474","Dorcatherium minus","species","158607","","Dorcatherium minus","species","158607","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
"151046","occ","","","13481","Alloptox cf. gobiensis","species","53230","","Alloptox gobiensis","species","104400","Miocene","","23.03","5.333","6101","Chordata","Mammalia","Lagomorpha","Ochotonidae","Alloptox"
"151055","occ","","","13482","Ansomys orientalis","species","108782","","Ansomys orientalis","species","108782","Early Miocene","Middle Miocene","23.03","11.608","6095","Chordata","Mammalia","Rodentia","Aplodontidae","Ansomys"
"151057","occ","","","13482","Plesiosciurus sinensis","species","357648","","Plesiosciurus sinensis","species","357648","Early Miocene","Middle Miocene","23.03","11.608","6095","Chordata","Mammalia","Rodentia","Sciuridae","Plesiosciurus"
"151060","occ","","","13482","Microdyromys orientalis","species","131793","","Microdyromys orientalis","species","131793","Early Miocene","Middle Miocene","23.03","11.608","6095","Chordata","Mammalia","Rodentia","Gliridae","Microdyromys"
"151063","occ","","","13482","Diatomys cf. shantungensis","species","100686","","Diatomys shantungensis","species","100686","Early Miocene","Middle Miocene","23.03","11.608","6095","Chordata","Mammalia","Rodentia","Diatomyidae","Diatomys"
"151065","occ","","","13482","Democricetodon cf. brevis","species","118974","","Democricetodon brevis","species","120912","Early Miocene","Middle Miocene","23.03","11.608","6095","Chordata","Mammalia","Rodentia","Cricetidae","Democricetodon"
"151089","occ","","","13483","Plesiodipus leei","species","54368","","Plesiodipus leei","species","54368","Middle Miocene","Late Miocene","15.97","5.333","6095","Chordata","Mammalia","Rodentia","Muridae","Plesiodipus"
"151094","occ","","","13483","Alloptox gobiensis","species","53230","","Alloptox gobiensis","species","104400","Middle Miocene","Late Miocene","15.97","5.333","6095","Chordata","Mammalia","Lagomorpha","Ochotonidae","Alloptox"
"151095","occ","","","13483","Bellatona forsythmajori","species","347119","","Bellatona forsythmajori","species","347119","Middle Miocene","Late Miocene","15.97","5.333","6095","Chordata","Mammalia","Lagomorpha","Ochotonidae","Bellatona"
"151111","occ","","","13484","cf. Plesiodipus leei","species","54368","","Plesiodipus leei","species","54368","Middle Miocene","","15.97","11.608","6095","Chordata","Mammalia","Rodentia","Muridae","Plesiodipus"
"151115","occ","","","13485","Quyania aff. chowi","species","109065","","Quyania chowi","species","109065","Pliocene","","5.333","2.588","6095","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Quyania"
"151116","occ","","","13485","Yanshuella aff. primaeva","species","109068","","Yanshuella primaeva","species","109067","Pliocene","","5.333","2.588","6095","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Yanshuella"
"151118","occ","","","13485","Crocidura informal kormosi","species","110664","recombined as","Zelceina kormosi","species","110664","Pliocene","","5.333","2.588","6095","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Zelceina"
"151126","occ","","","13485","Sinocastor cf. anderssoni","species","109189","recombined as","Castor anderssoni","species","109188","Pliocene","","5.333","2.588","6095","Chordata","Mammalia","Rodentia","Castoridae","Castor"
"151127","occ","","","13485","Myomimus cf. sinensis","species","109194","","Myomimus sinensis","species","109194","Pliocene","","5.333","2.588","6095","Chordata","Mammalia","Rodentia","Gliridae","Myomimus"
"151401","occ","","","13485","Sminthoides aff. fraudator","species","109227","","Sminthoides fraudator","species","109227","Pliocene","","5.333","2.588","6095","Chordata","Mammalia","Rodentia","Dipodidae","Sminthoides"
"151446","occ","","","13489","Myomimus sumbalenwalicus","species","131917","","Myomimus sumbalenwalicus","species","131917","Tortonian","","11.62","7.246","6104","Chordata","Mammalia","Rodentia","Gliridae","Myomimus"
"151450","occ","","","13490","Elephas trogontherii","species","159796","recombined as","Mammuthus trogontherii","species","159796","Quaternary","Middle Pleistocene","2.588","0.126","10567","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"151452","occ","","","13490","Hippopotamus amphibius","species","77338","","Hippopotamus amphibius","species","77338","Quaternary","Middle Pleistocene","2.588","0.126","10567","Chordata","Mammalia","Artiodactyla","Hippopotamidae","Hippopotamus"
"151453","occ","","","13490","cf. Bison priscus","species","44526","","Bison priscus","species","52615","Quaternary","Middle Pleistocene","2.588","0.126","10567","Chordata","Mammalia","Artiodactyla","Bovidae","Bison"
"151454","occ","32604","","13491","Entelodon gobiensis","species","345293","","Entelodon gobiensis","species","345293","Priabonian","","38","33.9","59870","Chordata","Mammalia","Artiodactyla","Entelodontidae","Entelodon"
"154616","occ","","","13738","Homo sapiens","species","83088","","Homo sapiens","species","83088","Holocene","","0.0117","0","6145","Chordata","Mammalia","Primates","Hominidae","Homo"
"154618","occ","","","13738","Panthera tigris","species","90651","","Panthera tigris","species","104157","Holocene","","0.0117","0","6145","Chordata","Mammalia","Carnivora","Felidae","Panthera"
"154621","occ","","","13738","Tapirus indicus","species","92242","","Tapirus indicus","species","92242","Holocene","","0.0117","0","6145","Chordata","Mammalia","Perissodactyla","Tapiridae","Tapirus"
"154624","occ","","","13738","Cervus (Rusa) timorensis","species","247127","recombined as","Cervus timorensis","species","247126","Holocene","","0.0117","0","6145","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus"
"154626","occ","","","13738","Muntiacus muntjak","species","149398","","Muntiacus muntjak","species","149398","Holocene","","0.0117","0","6145","Chordata","Mammalia","Artiodactyla","Cervidae","Muntiacus"
"157930","occ","","","13997","Desmatotherium grangeri","species","348211","recombined as","Plesiocolopirus grangeri","species","348211","Late Eocene","Oligocene","37.2","23.03","6182","Chordata","Mammalia","Perissodactyla","Tapiridae","Plesiocolopirus"
"157941","occ","","","13998","Rhinoceros schleiermacheri","species","104212","recombined as","Dihoplus schleiermacheri","species","104212","Late Miocene","","11.608","5.333","6183","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Dihoplus"
"157944","occ","","","13998","Hipparion gracile","species","432905","subjective synonym of","Hipparion depereti","species","432904","Late Miocene","","11.608","5.333","6183","Chordata","Mammalia","Perissodactyla","Equidae","Hipparion"
"157949","occ","","","13998","Palaeoryx pallasi","species","379945","","Palaeoryx pallasi","species","379945","Late Miocene","","11.608","5.333","6183","Chordata","Mammalia","Artiodactyla","Bovidae","Palaeoryx"
"157952","occ","","","13998","Gazella gaudryi","species","402649","","Gazella gaudryi","species","402649","Late Miocene","","11.608","5.333","6183","Chordata","Mammalia","Artiodactyla","Bovidae","Gazella"
"160747","occ","","","14150","Rhinoceros sivalensis","species","390268","","Rhinoceros sivalensis","species","390268","Early Pleistocene","","2.588","0.781","6256","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Rhinoceros"
"160748","occ","","","14150","Hexaprotodon sivalensis","species","77334","","Hexaprotodon sivalensis","species","77334","Early Pleistocene","","2.588","0.781","6256","Chordata","Mammalia","Artiodactyla","Hippopotamidae","Hexaprotodon"
"201402","occ","","","21197","Cervus elaphus","species","45017","","Cervus elaphus","species","45017","Late Pleistocene","","0.126","0.0117","6494","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus"
"299248","occ","11149","","28781","Platybelodon grangeri","species","433142","","Platybelodon grangeri","species","433142","Middle Miocene","Late Miocene","15.97","5.333","11208","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Platybelodon"
"299264","occ","10240","","28785","Sinohippus zitteli","species","53169","","Sinohippus zitteli","species","53168","Pliocene","","5.333","2.588","7907","Chordata","Mammalia","Perissodactyla","Equidae","Sinohippus"
